URN,ImageReference
urn:cts:greekLit:tlg0012.tlg001.msA:13.1,"urn:cite:hmt:chsimg.VA164RN-0335:0.1351,0.1901,0.4945,0.0977"
urn:cts:greekLit:tlg0012.tlg001.msA:13.2,"urn:cite:hmt:chsimg.VA164RN-0335:0.2062,0.2194,0.4194,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:13.6,"urn:cite:hmt:chsimg.VA164RN-0335:0.2012,0.2975,0.4144,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:13.10,"urn:cite:hmt:chsimg.VA164RN-0335:0.1742,0.3779,0.4104,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:13.14,"urn:cite:hmt:chsimg.VA164RN-0335:0.1852,0.4508,0.4084,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:13.18,"urn:cite:hmt:chsimg.VA164RN-0335:0.1822,0.5252,0.4535,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:13.22,"urn:cite:hmt:chsimg.VA164RN-0335:0.1822,0.6056,0.4214,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:13.3,"urn:cite:hmt:chsimg.VA164RN-0335:0.2022,0.2382,0.4184,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:13.4,"urn:cite:hmt:chsimg.VA164RN-0335:0.2042,0.2569,0.4274,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:13.5,"urn:cite:hmt:chsimg.VA164RN-0335:0.2012,0.2802,0.3874,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:13.7,"urn:cite:hmt:chsimg.VA164RN-0335:0.1962,0.3178,0.3994,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:13.11,"urn:cite:hmt:chsimg.VA164RN-0335:0.1692,0.3952,0.4394,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:13.15,"urn:cite:hmt:chsimg.VA164RN-0335:0.1882,0.4681,0.4044,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:13.19,"urn:cite:hmt:chsimg.VA164RN-0335:0.1762,0.5477,0.3904,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msA:13.23,"urn:cite:hmt:chsimg.VA164RN-0335:0.1812,0.6213,0.4424,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:13.8,"urn:cite:hmt:chsimg.VA164RN-0335:0.1922,0.3366,0.4194,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:13.12,"urn:cite:hmt:chsimg.VA164RN-0335:0.1702,0.4125,0.4194,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:13.16,"urn:cite:hmt:chsimg.VA164RN-0335:0.1692,0.4891,0.4474,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:13.20,"urn:cite:hmt:chsimg.VA164RN-0335:0.1772,0.565,0.4484,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:13.24,"urn:cite:hmt:chsimg.VA164RN-0335:0.1832,0.6416,0.4074,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:13.9,"urn:cite:hmt:chsimg.VA164RN-0335:0.1872,0.3546,0.4094,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:13.13,"urn:cite:hmt:chsimg.VA164RN-0335:0.1812,0.4313,0.4094,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:13.17,"urn:cite:hmt:chsimg.VA164RN-0335:0.1832,0.5079,0.4084,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:13.21,"urn:cite:hmt:chsimg.VA164RN-0335:0.1662,0.586,0.4575,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:13.25,"urn:cite:hmt:chsimg.VA164RN-0335:0.1672,0.6612,0.4645,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:13.26,"urn:cite:hmt:chsimg.VA164VN-0666:0.4715,0.2164,0.4184,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:13.37,"urn:cite:hmt:chsimg.VA164VN-0666:0.4825,0.4313,0.4254,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:13.47,"urn:cite:hmt:chsimg.VA164VN-0666:0.4745,0.6213,0.3874,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:13.27,"urn:cite:hmt:chsimg.VA164VN-0666:0.4815,0.2389,0.4334,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:13.38,"urn:cite:hmt:chsimg.VA164VN-0666:0.4775,0.45,0.4314,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:13.48,"urn:cite:hmt:chsimg.VA164VN-0666:0.4745,0.6394,0.4134,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:13.28,"urn:cite:hmt:chsimg.VA164VN-0666:0.4655,0.2569,0.4565,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:13.39,"urn:cite:hmt:chsimg.VA164VN-0666:0.4745,0.4681,0.3824,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:13.49,"urn:cite:hmt:chsimg.VA164VN-0666:0.4615,0.6589,0.4344,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:13.29,"urn:cite:hmt:chsimg.VA164VN-0666:0.4655,0.2765,0.4344,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:13.35,"urn:cite:hmt:chsimg.VA164VN-0666:0.4775,0.3944,0.4324,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:13.45,"urn:cite:hmt:chsimg.VA164VN-0666:0.4565,0.5815,0.4665,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:13.30,"urn:cite:hmt:chsimg.VA164VN-0666:0.4755,0.2968,0.4525,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:13.36,"urn:cite:hmt:chsimg.VA164VN-0666:0.4765,0.4132,0.4304,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:13.46,"urn:cite:hmt:chsimg.VA164VN-0666:0.4775,0.5995,0.4154,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:13.31,"urn:cite:hmt:chsimg.VA164VN-0666:0.4695,0.3178,0.4444,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:13.41,"urn:cite:hmt:chsimg.VA164VN-0666:0.4645,0.5064,0.4044,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:13.32,"urn:cite:hmt:chsimg.VA164VN-0666:0.4725,0.3343,0.4254,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:13.42,"urn:cite:hmt:chsimg.VA164VN-0666:0.4745,0.5252,0.4494,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:13.33,"urn:cite:hmt:chsimg.VA164VN-0666:0.4745,0.3539,0.4244,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:13.43,"urn:cite:hmt:chsimg.VA164VN-0666:0.4745,0.544,0.3664,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:13.34,"urn:cite:hmt:chsimg.VA164VN-0666:0.4745,0.3727,0.3904,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:13.44,"urn:cite:hmt:chsimg.VA164VN-0666:0.4705,0.5635,0.3814,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:13.40,"urn:cite:hmt:chsimg.VA164VN-0666:0.4765,0.4861,0.4084,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:13.50,"urn:cite:hmt:chsimg.VA164VN-0666:0.4675,0.6784,0.4364,0.0255"
slksdfjkasdfklajsf
another one
